x,y,z,created,thing
-32.0,33.0,72.0,2015-05-16 19:05:40.140000+00:00,tight-respect
-28.0,11.0,85.0,2015-05-16 19:05:40.209000+00:00,tight-respect
-43.0,-3.0,72.0,2015-05-16 19:05:40.625000+00:00,tight-respect
-44.0,-2.0,81.0,2015-05-16 19:05:40.774000+00:00,tight-respect
-48.0,8.0,43.0,2015-05-16 19:05:41.430000+00:00,tight-respect
-9.0,-20.0,78.0,2015-05-16 19:05:41.462000+00:00,tight-respect
-63.0,4.0,67.0,2015-05-16 19:05:41.697000+00:00,tight-respect
-39.0,-6.0,81.0,2015-05-16 19:05:41.832000+00:00,tight-respect
3.0,10.0,134.0,2015-05-16 19:05:41.833000+00:00,tight-respect
-64.0,2.0,30.0,2015-05-16 19:05:41.866000+00:00,tight-respect
-43.0,1.0,64.0,2015-05-16 19:05:43.100000+00:00,tight-respect
-17.0,1.0,23.0,2015-05-16 19:05:43.213000+00:00,tight-respect
-41.0,-7.0,48.0,2015-05-16 19:05:44.145000+00:00,tight-respect
-48.0,-5.0,68.0,2015-05-16 19:05:47.605000+00:00,tight-respect
-28.0,-4.0,84.0,2015-05-16 19:05:48.094000+00:00,tight-respect
-5.0,-10.0,95.0,2015-05-16 19:05:48.296000+00:00,tight-respect
-22.0,-2.0,342.0,2015-05-16 19:05:49.459000+00:00,tight-respect
-25.0,-1.0,81.0,2015-05-16 19:05:54.118000+00:00,tight-respect
-23.0,-3.0,112.0,2015-05-16 19:05:54.481000+00:00,tight-respect
-26.0,1.0,82.0,2015-05-16 19:05:55.791000+00:00,tight-respect
-20.0,3.0,122.0,2015-05-16 19:05:55.975000+00:00,tight-respect
-9.0,1.0,104.0,2015-05-16 19:05:56.985000+00:00,tight-respect
-9.0,-2.0,115.0,2015-05-16 19:05:57.954000+00:00,tight-respect
-35.0,3.0,85.0,2015-05-16 19:05:58.147000+00:00,tight-respect
-14.0,-1.0,106.0,2015-05-16 19:06:01.751000+00:00,tight-respect
-3.0,3.0,180.0,2015-05-16 19:06:01.752000+00:00,tight-respect
-23.0,-5.0,83.0,2015-05-16 19:06:01.756000+00:00,tight-respect
-9.0,4.0,114.0,2015-05-16 19:06:03.247000+00:00,tight-respect
-15.0,-3.0,100.0,2015-05-16 19:06:03.838000+00:00,tight-respect
-29.0,-2.0,48.0,2015-05-16 19:06:03.975000+00:00,tight-respect
-29.0,-6.0,72.0,2015-05-16 19:06:04.113000+00:00,tight-respect
-31.0,1.0,75.0,2015-05-16 19:06:04.198000+00:00,tight-respect
-22.0,-2.0,342.0,2015-05-16 19:06:04.351000+00:00,tight-respect
-21.0,3.0,103.0,2015-05-16 19:06:05.075000+00:00,tight-respect
-25.0,4.0,81.0,2015-05-16 19:06:05.965000+00:00,tight-respect
-17.0,4.0,107.0,2015-05-16 19:06:06.957000+00:00,tight-respect
-12.0,-1.0,96.0,2015-05-16 19:06:07.043000+00:00,tight-respect
-7.0,2.0,115.0,2015-05-16 19:06:07.957000+00:00,tight-respect
-7.0,1.0,116.0,2015-05-16 19:06:09.043000+00:00,tight-respect
-6.0,12.0,156.0,2015-05-16 19:06:10.654000+00:00,tight-respect
-2.0,8.0,160.0,2015-05-16 19:06:10.958000+00:00,tight-respect
-5.0,5.0,139.0,2015-05-16 19:06:11.946000+00:00,tight-respect
-10.0,2.0,172.0,2015-05-16 19:06:12.974000+00:00,tight-respect
-10.0,8.0,144.0,2015-05-16 19:06:13.984000+00:00,tight-respect
-2.0,12.0,176.0,2015-05-16 19:06:19.224000+00:00,tight-respect
-5.0,2.0,120.0,2015-05-16 19:06:24.883000+00:00,tight-respect
-3.0,5.0,172.0,2015-05-16 19:06:32.417000+00:00,tight-respect
-2.0,2.0,145.0,2015-05-16 19:06:32.419000+00:00,tight-respect
-1.0,2.0,147.0,2015-05-16 19:06:32.421000+00:00,tight-respect
-1.0,6.0,164.0,2015-05-16 19:06:32.476000+00:00,tight-respect
-4.0,5.0,165.0,2015-05-16 19:06:32.477000+00:00,tight-respect
-1.0,4.0,154.0,2015-05-16 19:06:32.513000+00:00,tight-respect
-5.0,4.0,147.0,2015-05-16 19:06:32.546000+00:00,tight-respect
-2.0,8.0,174.0,2015-05-16 19:06:32.548000+00:00,tight-respect
-4.0,2.0,143.0,2015-05-16 19:06:32.595000+00:00,tight-respect
-3.0,8.0,170.0,2015-05-16 19:06:32.629000+00:00,tight-respect
-3.0,2.0,142.0,2015-05-16 19:06:32.630000+00:00,tight-respect
-18.0,-12.0,77.0,2015-05-16 19:06:32.635000+00:00,tight-respect
-10.0,-2.0,129.0,2015-05-16 19:06:32.701000+00:00,tight-respect
-6.0,1.0,170.0,2015-05-16 19:06:32.703000+00:00,tight-respect
-22.0,-12.0,62.0,2015-05-16 19:06:32.777000+00:00,tight-respect
-5.0,1.0,30.0,2015-05-16 19:06:32.796000+00:00,tight-respect
-8.0,11.0,298.0,2015-05-16 19:06:33.064000+00:00,tight-respect
-5.0,5.0,122.0,2015-05-16 19:06:33.972000+00:00,tight-respect
-4.0,6.0,123.0,2015-05-16 19:06:34.947000+00:00,tight-respect
-4.0,5.0,354.0,2015-05-16 19:06:36.128000+00:00,tight-respect
-3.0,14.0,297.0,2015-05-16 19:06:36.917000+00:00,tight-respect
-2.0,2.0,118.0,2015-05-16 19:06:37.941000+00:00,tight-respect
16.0,69.0,238.0,2015-05-16 19:06:38.941000+00:00,tight-respect
2.0,84.0,35.0,2015-05-16 19:06:39.925000+00:00,tight-respect
4.0,85.0,51.0,2015-05-16 19:06:41.135000+00:00,tight-respect
171.0,80.0,177.0,2015-05-16 19:06:41.957000+00:00,tight-respect
177.0,83.0,64.0,2015-05-16 19:06:42.934000+00:00,tight-respect
5.0,82.0,67.0,2015-05-16 19:06:43.938000+00:00,tight-respect
-4.0,80.0,81.0,2015-05-16 19:06:44.951000+00:00,tight-respect
-1.0,82.0,46.0,2015-05-16 19:06:45.957000+00:00,tight-respect
-2.0,82.0,46.0,2015-05-16 19:06:46.983000+00:00,tight-respect
2.0,80.0,85.0,2015-05-16 19:06:47.992000+00:00,tight-respect
-5.0,7.0,37.0,2015-05-16 19:06:48.949000+00:00,tight-respect
-6.0,-10.0,104.0,2015-05-16 19:06:49.954000+00:00,tight-respect
-2.0,-2.0,110.0,2015-05-16 19:06:50.950000+00:00,tight-respect
-4.0,3.0,124.0,2015-05-16 19:06:51.944000+00:00,tight-respect
-5.0,-3.0,112.0,2015-05-16 19:06:52.947000+00:00,tight-respect
-3.0,-1.0,120.0,2015-05-16 19:06:53.942000+00:00,tight-respect
-10.0,4.0,225.0,2015-05-16 19:06:55.149000+00:00,tight-respect
-13.0,-2.0,56.0,2015-05-16 19:06:55.943000+00:00,tight-respect
-4.0,-3.0,144.0,2015-05-16 19:06:56.951000+00:00,tight-respect
-28.0,-5.0,64.0,2015-05-16 19:06:58.023000+00:00,tight-respect
-18.0,-4.0,108.0,2015-05-16 19:06:59.017000+00:00,tight-respect
-21.0,5.0,83.0,2015-05-16 19:06:59.988000+00:00,tight-respect
-12.0,2.0,104.0,2015-05-16 19:07:00.986000+00:00,tight-respect
-10.0,-66.0,44.0,2015-05-16 19:07:02.141000+00:00,tight-respect
-18.0,-67.0,15.0,2015-05-16 19:07:02.947000+00:00,tight-respect
-172.0,-81.0,56.0,2015-05-16 19:07:03.959000+00:00,tight-respect
-22.0,-54.0,327.0,2015-05-16 19:07:04.928000+00:00,tight-respect
-13.0,-64.0,356.0,2015-05-16 19:07:05.946000+00:00,tight-respect
-4.0,-78.0,61.0,2015-05-16 19:07:06.940000+00:00,tight-respect
-20.0,-56.0,348.0,2015-05-16 19:07:07.962000+00:00,tight-respect
3.0,-82.0,98.0,2015-05-16 19:07:09.114000+00:00,tight-respect
-7.0,-78.0,64.0,2015-05-16 19:07:09.980000+00:00,tight-respect
-19.0,-51.0,338.0,2015-05-16 19:07:15.142000+00:00,tight-respect
-10.0,-75.0,46.0,2015-05-16 19:07:16.103000+00:00,tight-respect
-12.0,-21.0,279.0,2015-05-16 19:07:16.350000+00:00,tight-respect
-32.0,11.0,46.0,2015-05-16 19:07:16.351000+00:00,tight-respect
-171.0,-80.0,63.0,2015-05-16 19:07:16.409000+00:00,tight-respect
-4.0,-55.0,71.0,2015-05-16 19:07:16.421000+00:00,tight-respect
-2.0,-78.0,56.0,2015-05-16 19:07:16.957000+00:00,tight-respect
-163.0,-73.0,31.0,2015-05-16 19:07:17.965000+00:00,tight-respect
2.0,-86.0,68.0,2015-05-16 19:07:19.023000+00:00,tight-respect
-178.0,-86.0,56.0,2015-05-16 19:07:20.039000+00:00,tight-respect
-179.0,-88.0,58.0,2015-05-16 19:07:20.996000+00:00,tight-respect
1.0,-82.0,57.0,2015-05-16 19:07:22.008000+00:00,tight-respect
3.0,-84.0,69.0,2015-05-16 19:07:23.110000+00:00,tight-respect
-11.0,-77.0,25.0,2015-05-16 19:07:24.105000+00:00,tight-respect
-5.0,-83.0,33.0,2015-05-16 19:07:25+00:00,tight-respect
179.0,-88.0,51.0,2015-05-16 19:07:26.103000+00:00,tight-respect
-5.0,-85.0,35.0,2015-05-16 19:07:27.050000+00:00,tight-respect
173.0,-79.0,84.0,2015-05-16 19:07:28.017000+00:00,tight-respect
172.0,-82.0,77.0,2015-05-16 19:07:29.340000+00:00,tight-respect
-4.0,-83.0,21.0,2015-05-16 19:07:29.983000+00:00,tight-respect
-2.0,-86.0,37.0,2015-05-16 19:07:31.132000+00:00,tight-respect
166.0,-73.0,106.0,2015-05-16 19:07:32.041000+00:00,tight-respect
6.0,-72.0,339.0,2015-05-16 19:07:32.945000+00:00,tight-respect
4.0,-84.0,70.0,2015-05-16 19:07:35.550000+00:00,tight-respect
-7.0,-14.0,277.0,2015-05-16 19:07:35.688000+00:00,tight-respect
-1.0,-3.0,45.0,2015-05-16 19:07:36.458000+00:00,tight-respect
-3.0,-4.0,72.0,2015-05-16 19:07:36.950000+00:00,tight-respect
-13.0,-6.0,62.0,2015-05-16 19:07:37.952000+00:00,tight-respect
-5.0,-4.0,125.0,2015-05-16 19:07:38.980000+00:00,tight-respect
-4.0,5.0,52.0,2015-05-16 19:07:40.211000+00:00,tight-respect
-12.0,5.0,82.0,2015-05-16 19:07:41+00:00,tight-respect
-7.0,-2.0,117.0,2015-05-16 19:07:41.942000+00:00,tight-respect
-9.0,-2.0,107.0,2015-05-16 19:07:44.368000+00:00,tight-respect
-18.0,-6.0,82.0,2015-05-16 19:07:47.273000+00:00,tight-respect
-13.0,1.0,100.0,2015-05-16 19:07:47.450000+00:00,tight-respect
-16.0,-2.0,68.0,2015-05-16 19:07:48.516000+00:00,tight-respect
-10.0,1.0,97.0,2015-05-16 19:07:49.136000+00:00,tight-respect
-7.0,3.0,104.0,2015-05-16 19:07:49.137000+00:00,tight-respect
-3.0,77.0,280.0,2015-05-16 19:07:49.239000+00:00,tight-respect
8.0,64.0,108.0,2015-05-16 19:07:49.952000+00:00,tight-respect
4.0,78.0,99.0,2015-05-16 19:07:50.933000+00:00,tight-respect
2.0,80.0,134.0,2015-05-16 19:07:51.952000+00:00,tight-respect
7.0,76.0,121.0,2015-05-16 19:07:52.947000+00:00,tight-respect
-2.0,81.0,72.0,2015-05-16 19:07:54.030000+00:00,tight-respect
5.0,81.0,31.0,2015-05-16 19:07:54.942000+00:00,tight-respect
3.0,85.0,122.0,2015-05-16 19:07:55.945000+00:00,tight-respect
4.0,77.0,97.0,2015-05-16 19:07:57.359000+00:00,tight-respect
-4.0,81.0,36.0,2015-05-16 19:07:58.008000+00:00,tight-respect
3.0,78.0,94.0,2015-05-16 19:07:58.997000+00:00,tight-respect
5.0,80.0,109.0,2015-05-16 19:07:59.961000+00:00,tight-respect
-3.0,81.0,38.0,2015-05-16 19:08:00.967000+00:00,tight-respect
3.0,83.0,77.0,2015-05-16 19:08:01.946000+00:00,tight-respect
1.0,80.0,71.0,2015-05-16 19:08:02.977000+00:00,tight-respect
-6.0,79.0,32.0,2015-05-16 19:08:05.373000+00:00,tight-respect
1.0,75.0,75.0,2015-05-16 19:08:05.380000+00:00,tight-respect
-3.0,76.0,42.0,2015-05-16 19:08:05.930000+00:00,tight-respect
-3.0,34.0,86.0,2015-05-16 19:08:06.933000+00:00,tight-respect
-79.0,-1.0,41.0,2015-05-16 19:08:07.927000+00:00,tight-respect
-65.0,10.0,57.0,2015-05-16 19:08:08.938000+00:00,tight-respect
-76.0,3.0,51.0,2015-05-16 19:08:09.963000+00:00,tight-respect
-84.0,2.0,14.0,2015-05-16 19:08:11.169000+00:00,tight-respect
-70.0,-18.0,72.0,2015-05-16 19:08:12.196000+00:00,tight-respect
-82.0,-3.0,31.0,2015-05-16 19:08:12.970000+00:00,tight-respect
-81.0,-6.0,33.0,2015-05-16 19:08:14.023000+00:00,tight-respect
-82.0,-3.0,50.0,2015-05-16 19:08:14.946000+00:00,tight-respect
-70.0,-19.0,72.0,2015-05-16 19:08:16.758000+00:00,tight-respect
-78.0,-7.0,43.0,2015-05-16 19:08:17.217000+00:00,tight-respect
-72.0,-14.0,61.0,2015-05-16 19:08:18.006000+00:00,tight-respect
-64.0,4.0,51.0,2015-05-16 19:08:18.936000+00:00,tight-respect
-73.0,-1.0,66.0,2015-05-16 19:08:20.375000+00:00,tight-respect
-72.0,-1.0,59.0,2015-05-16 19:08:20.951000+00:00,tight-respect
-76.0,1.0,44.0,2015-05-16 19:08:21.956000+00:00,tight-respect
-80.0,-5.0,66.0,2015-05-16 19:08:23.001000+00:00,tight-respect
-81.0,1.0,43.0,2015-05-16 19:08:23.965000+00:00,tight-respect
-77.0,-3.0,47.0,2015-05-16 19:08:25.715000+00:00,tight-respect
-70.0,-3.0,78.0,2015-05-16 19:08:26.353000+00:00,tight-respect
-80.0,-4.0,48.0,2015-05-16 19:08:27.310000+00:00,tight-respect
-66.0,-2.0,44.0,2015-05-16 19:08:32.338000+00:00,tight-respect
-40.0,-21.0,32.0,2015-05-16 19:08:32.430000+00:00,tight-respect
-9.0,-10.0,103.0,2015-05-16 19:08:32.476000+00:00,tight-respect
-73.0,-9.0,62.0,2015-05-16 19:08:32.978000+00:00,tight-respect
-64.0,-7.0,70.0,2015-05-16 19:08:33.067000+00:00,tight-respect
-38.0,-30.0,86.0,2015-05-16 19:08:33.669000+00:00,tight-respect
-59.0,2.0,105.0,2015-05-16 19:08:34.344000+00:00,tight-respect
-84.0,-3.0,64.0,2015-05-16 19:08:35.136000+00:00,tight-respect
-81.0,-4.0,71.0,2015-05-16 19:08:35.970000+00:00,tight-respect
-80.0,4.0,68.0,2015-05-16 19:08:36.939000+00:00,tight-respect
-80.0,6.0,49.0,2015-05-16 19:08:37.950000+00:00,tight-respect
-74.0,2.0,53.0,2015-05-16 19:08:39.037000+00:00,tight-respect
-80.0,-3.0,60.0,2015-05-16 19:08:39.966000+00:00,tight-respect
-78.0,-3.0,70.0,2015-05-16 19:08:40.963000+00:00,tight-respect
-58.0,25.0,10.0,2015-05-16 19:08:42.284000+00:00,tight-respect
-37.0,46.0,35.0,2015-05-16 19:08:43.255000+00:00,tight-respect
-43.0,34.0,61.0,2015-05-16 19:08:46.231000+00:00,tight-respect
-39.0,41.0,48.0,2015-05-16 19:08:46.233000+00:00,tight-respect
-46.0,27.0,43.0,2015-05-16 19:08:46.235000+00:00,tight-respect
-16.0,66.0,308.0,2015-05-16 19:08:46.972000+00:00,tight-respect
-4.0,59.0,14.0,2015-05-16 19:08:48.074000+00:00,tight-respect
-10.0,56.0,337.0,2015-05-16 19:08:48.950000+00:00,tight-respect
-19.0,52.0,356.0,2015-05-16 19:08:49.956000+00:00,tight-respect
-19.0,46.0,359.0,2015-05-16 19:08:52.030000+00:00,tight-respect
-24.0,43.0,354.0,2015-05-16 19:08:53.324000+00:00,tight-respect
-14.0,45.0,15.0,2015-05-16 19:08:53.325000+00:00,tight-respect
-4.0,51.0,336.0,2015-05-16 19:08:53.961000+00:00,tight-respect
-15.0,44.0,356.0,2015-05-16 19:08:55.099000+00:00,tight-respect
-14.0,43.0,349.0,2015-05-16 19:08:55.995000+00:00,tight-respect
-15.0,47.0,335.0,2015-05-16 19:08:57.590000+00:00,tight-respect
-17.0,42.0,350.0,2015-05-16 19:08:58.769000+00:00,tight-respect
-17.0,42.0,356.0,2015-05-16 19:08:58.943000+00:00,tight-respect
-17.0,44.0,342.0,2015-05-16 19:08:59.952000+00:00,tight-respect
-14.0,39.0,359.0,2015-05-16 19:09:01.315000+00:00,tight-respect
-17.0,40.0,355.0,2015-05-16 19:09:01.951000+00:00,tight-respect
-13.0,40.0,356.0,2015-05-16 19:09:03.020000+00:00,tight-respect
-13.0,39.0,6.0,2015-05-16 19:09:03.978000+00:00,tight-respect
-17.0,46.0,337.0,2015-05-16 19:09:04.976000+00:00,tight-respect
-15.0,43.0,343.0,2015-05-16 19:09:06.078000+00:00,tight-respect
-15.0,44.0,343.0,2015-05-16 19:09:06.960000+00:00,tight-respect
-10.0,45.0,327.0,2015-05-16 19:09:08.087000+00:00,tight-respect
-15.0,43.0,346.0,2015-05-16 19:09:08.973000+00:00,tight-respect
-13.0,44.0,338.0,2015-05-16 19:09:11.154000+00:00,tight-respect
-12.0,44.0,330.0,2015-05-16 19:09:14.611000+00:00,tight-respect
-10.0,47.0,323.0,2015-05-16 19:09:14.824000+00:00,tight-respect
-12.0,50.0,346.0,2015-05-16 19:09:14.942000+00:00,tight-respect
-11.0,53.0,328.0,2015-05-16 19:09:15.007000+00:00,tight-respect
-12.0,52.0,339.0,2015-05-16 19:09:15.096000+00:00,tight-respect
-11.0,59.0,335.0,2015-05-16 19:09:15.985000+00:00,tight-respect
-16.0,50.0,324.0,2015-05-16 19:09:16.945000+00:00,tight-respect
-11.0,60.0,333.0,2015-05-16 19:09:18.095000+00:00,tight-respect
-14.0,61.0,326.0,2015-05-16 19:09:18.982000+00:00,tight-respect
-10.0,60.0,320.0,2015-05-16 19:09:20.240000+00:00,tight-respect
-10.0,60.0,329.0,2015-05-16 19:09:20.955000+00:00,tight-respect
-14.0,58.0,330.0,2015-05-16 19:09:21.964000+00:00,tight-respect
-12.0,53.0,338.0,2015-05-16 19:09:22.951000+00:00,tight-respect
-13.0,57.0,332.0,2015-05-16 19:09:24.014000+00:00,tight-respect
-14.0,53.0,337.0,2015-05-16 19:09:24.946000+00:00,tight-respect
-18.0,51.0,338.0,2015-05-16 19:09:25.964000+00:00,tight-respect
-18.0,51.0,337.0,2015-05-16 19:09:26.947000+00:00,tight-respect
-17.0,51.0,340.0,2015-05-16 19:09:28.094000+00:00,tight-respect
-22.0,45.0,347.0,2015-05-16 19:09:28.954000+00:00,tight-respect
-24.0,41.0,338.0,2015-05-16 19:09:29.943000+00:00,tight-respect
-24.0,41.0,324.0,2015-05-16 19:09:30.954000+00:00,tight-respect
-22.0,54.0,319.0,2015-05-16 19:09:31.941000+00:00,tight-respect
-26.0,45.0,344.0,2015-05-16 19:09:32.934000+00:00,tight-respect
-14.0,59.0,317.0,2015-05-16 19:09:34.001000+00:00,tight-respect
-12.0,60.0,308.0,2015-05-16 19:09:34.956000+00:00,tight-respect
-10.0,60.0,311.0,2015-05-16 19:09:36.085000+00:00,tight-respect
-9.0,60.0,309.0,2015-05-16 19:09:41.289000+00:00,tight-respect
-8.0,57.0,305.0,2015-05-16 19:09:44.151000+00:00,tight-respect
-12.0,61.0,309.0,2015-05-16 19:09:44.457000+00:00,tight-respect
-10.0,59.0,308.0,2015-05-16 19:09:44.525000+00:00,tight-respect
-14.0,63.0,318.0,2015-05-16 19:09:54.816000+00:00,tight-respect
-12.0,63.0,3.0,2015-05-16 19:09:57.031000+00:00,tight-respect
-4.0,67.0,349.0,2015-05-16 19:09:57.039000+00:00,tight-respect
-5.0,34.0,294.0,2015-05-16 19:10:16.202000+00:00,tight-respect
-7.0,64.0,350.0,2015-05-16 19:10:28.561000+00:00,tight-respect
-3.0,61.0,345.0,2015-05-16 19:10:28.564000+00:00,tight-respect
-4.0,65.0,343.0,2015-05-16 19:10:28.664000+00:00,tight-respect
-41.0,-6.0,94.0,2015-05-16 19:10:28.722000+00:00,tight-respect
143.0,40.0,158.0,2015-05-16 19:10:28.766000+00:00,tight-respect
-13.0,-45.0,88.0,2015-05-16 19:10:28.903000+00:00,tight-respect
-170.0,-17.0,195.0,2015-05-16 19:10:29.003000+00:00,tight-respect
-27.0,9.0,113.0,2015-05-16 19:10:29.009000+00:00,tight-respect
-73.0,11.0,343.0,2015-05-16 19:10:29.119000+00:00,tight-respect
-15.0,-5.0,61.0,2015-05-16 19:10:29.120000+00:00,tight-respect
-4.0,-59.0,129.0,2015-05-16 19:10:29.199000+00:00,tight-respect
-169.0,46.0,327.0,2015-05-16 19:10:29.200000+00:00,tight-respect
24.0,-54.0,149.0,2015-05-16 19:10:29.297000+00:00,tight-respect
-156.0,6.0,4.0,2015-05-16 19:10:29.298000+00:00,tight-respect
128.0,13.0,89.0,2015-05-16 19:10:29.388000+00:00,tight-respect
-34.0,14.0,26.0,2015-05-16 19:10:29.412000+00:00,tight-respect
-96.0,5.0,56.0,2015-05-16 19:10:29.581000+00:00,tight-respect
-49.0,-9.0,127.0,2015-05-16 19:10:29.653000+00:00,tight-respect
-115.0,3.0,32.0,2015-05-16 19:10:29.676000+00:00,tight-respect
-25.0,-2.0,68.0,2015-05-16 19:10:29.724000+00:00,tight-respect
-13.0,-3.0,70.0,2015-05-16 19:10:29.833000+00:00,tight-respect
-11.0,-7.0,78.0,2015-05-16 19:10:29.834000+00:00,tight-respect
-13.0,-8.0,70.0,2015-05-16 19:10:30.014000+00:00,tight-respect
-10.0,-10.0,79.0,2015-05-16 19:10:30.016000+00:00,tight-respect
-29.0,-21.0,58.0,2015-05-16 19:10:30.374000+00:00,tight-respect
-11.0,-10.0,74.0,2015-05-16 19:10:30.375000+00:00,tight-respect
-32.0,-26.0,62.0,2015-05-16 19:10:30.470000+00:00,tight-respect
-8.0,-47.0,84.0,2015-05-16 19:10:30.471000+00:00,tight-respect
-43.0,3.0,35.0,2015-05-16 19:10:30.719000+00:00,tight-respect
-38.0,-14.0,58.0,2015-05-16 19:10:31.178000+00:00,tight-respect
-56.0,-11.0,36.0,2015-05-16 19:10:31.441000+00:00,tight-respect
-29.0,-13.0,63.0,2015-05-16 19:10:32.152000+00:00,tight-respect
-30.0,21.0,37.0,2015-05-16 19:10:32.551000+00:00,tight-respect
-20.0,3.0,27.0,2015-05-16 19:10:32.909000+00:00,tight-respect
-22.0,1.0,30.0,2015-05-16 19:10:32.910000+00:00,tight-respect
-24.0,-4.0,31.0,2015-05-16 19:10:33.239000+00:00,tight-respect
161.0,-7.0,343.0,2015-05-16 19:10:33.497000+00:00,tight-respect
-58.0,1.0,41.0,2015-05-16 19:10:33.498000+00:00,tight-respect
-61.0,2.0,44.0,2015-05-16 19:10:34.674000+00:00,tight-respect
-48.0,-3.0,109.0,2015-05-16 19:10:34.719000+00:00,tight-respect
-36.0,-11.0,348.0,2015-05-16 19:10:34.876000+00:00,tight-respect
-32.0,-4.0,25.0,2015-05-16 19:10:34.925000+00:00,tight-respect
-35.0,-6.0,21.0,2015-05-16 19:10:35.019000+00:00,tight-respect
-39.0,-8.0,21.0,2015-05-16 19:10:35.065000+00:00,tight-respect
-36.0,-3.0,26.0,2015-05-16 19:10:35.139000+00:00,tight-respect
-36.0,3.0,18.0,2015-05-16 19:10:35.181000+00:00,tight-respect
-35.0,3.0,17.0,2015-05-16 19:10:35.300000+00:00,tight-respect
-22.0,-2.0,53.0,2015-05-16 19:10:35.307000+00:00,tight-respect
-30.0,-2.0,44.0,2015-05-16 19:10:35.490000+00:00,tight-respect
-35.0,3.0,28.0,2015-05-16 19:10:35.539000+00:00,tight-respect
-27.0,3.0,41.0,2015-05-16 19:10:35.540000+00:00,tight-respect
179.0,-12.0,191.0,2015-05-16 19:10:35.948000+00:00,tight-respect
-41.0,-2.0,44.0,2015-05-16 19:10:37.142000+00:00,tight-respect
-33.0,-2.0,63.0,2015-05-16 19:10:37.971000+00:00,tight-respect
-14.0,2.0,130.0,2015-05-16 19:10:38.941000+00:00,tight-respect
-25.0,1.0,40.0,2015-05-16 19:10:40.232000+00:00,tight-respect
-38.0,-36.0,67.0,2015-05-16 19:10:40.958000+00:00,tight-respect
-35.0,2.0,21.0,2015-05-16 19:10:41.978000+00:00,tight-respect
-31.0,4.0,46.0,2015-05-16 19:10:47.783000+00:00,tight-respect
-30.0,5.0,34.0,2015-05-16 19:10:47.785000+00:00,tight-respect
