athlete,hour,minute,x_a,y_a,z_a,diff_x_a,diff_y_a,diff_z_a,second_a
Mike,3,2,-56,65,246,-2,0,-1,46
Mike,3,3,-45,64,170,5,1,0,43
Mike,3,4,-49,85,394,-3,0,0,49
Mike,3,5,-49,41,327,1,-1,-2,38
Mike,3,6,-58,84,373,2,1,-2,39
Mike,3,7,-45,66,376,-4,-1,2,38
Mike,3,8,-45,60,198,-3,0,-1,50
Mike,3,9,-54,53,215,4,1,-1,52
Mike,3,10,-52,88,181,-5,0,-1,55
Mike,3,11,-42,68,146,0,-1,-1,34
Mike,3,12,-46,65,254,-1,-1,2,46
Mike,3,13,-55,49,177,0,0,-1,39
Mike,3,14,-53,57,319,5,-1,-2,48
Mike,3,15,-51,54,162,5,-1,2,39
Mike,3,16,-56,76,271,4,-1,-2,44
Mike,3,17,-51,63,190,-5,0,1,57
Mike,3,18,-50,48,344,4,-1,-1,38
Mike,3,19,-44,44,154,4,0,-2,56
Mike,3,20,-58,64,388,-5,1,-2,39
Mike,3,21,-53,49,172,5,1,1,32
Mike,3,22,-45,79,321,-5,1,-2,56
Mike,3,23,-56,75,325,-1,0,2,31
Mike,3,24,-52,86,203,-4,0,-1,32
Mike,3,25,-60,56,112,-4,0,2,49
Mike,3,26,-50,77,190,0,1,-1,36
Mike,3,27,-49,54,268,-4,0,0,36
Mike,3,28,-45,63,320,-3,1,2,42
Mike,3,29,-55,77,133,2,0,-1,53
Mike,3,30,-53,52,131,0,1,-1,40
Mike,3,31,-50,55,124,-4,-1,-1,36
Mike,3,32,-47,58,221,-5,-1,1,59
Mike,3,33,-49,64,157,-1,-1,-2,32
Mike,3,34,-50,58,117,1,0,-2,37
Mike,3,35,-58,43,101,-4,0,1,35
Mike,3,36,-53,57,192,1,1,2,45
Mike,3,37,-52,50,210,3,1,0,35
Mike,3,38,-49,84,356,2,-1,0,60
Mike,3,39,-45,68,194,5,0,-2,40
Mike,3,40,-46,48,394,0,1,-2,47
Mike,3,41,-45,54,219,-4,1,-1,55
Mike,3,42,-51,62,129,2,0,1,51
Mike,3,43,-48,84,348,2,-1,-2,53
Mike,3,44,-52,72,329,-4,0,-1,36
Mike,3,45,-52,88,343,-5,1,-2,47
Mike,3,46,-46,66,345,-2,-1,2,34
Mike,3,47,-49,82,360,-3,0,-2,42
Mike,3,48,-51,79,163,-1,1,-1,47
Mike,3,49,-51,79,371,0,1,0,35
Mike,3,50,-41,82,188,-3,1,2,43
Mike,3,51,-56,73,104,1,1,1,44
Mike,3,52,-53,40,263,0,0,-1,56
Mike,3,53,-52,51,377,1,1,1,44
Mike,3,54,-47,60,400,-1,0,1,53
Mike,3,55,-57,51,296,-1,-1,1,37
Mike,3,56,-42,73,291,4,-1,1,47
Mike,3,57,-60,48,288,-2,-1,0,46
Mike,3,58,-57,72,393,2,0,0,43
Mike,3,59,-46,73,269,1,0,-2,41
Mike,3,60,-48,64,323,5,0,1,57
Mike,4,1,-44,57,241,-5,-1,1,45
Mike,4,2,-55,87,144,0,1,-2,31
Mike,4,3,-51,69,296,-1,-1,-1,50
Mike,4,4,-59,67,201,5,0,-2,52
Mike,4,5,-55,71,312,4,-1,1,32
Mike,4,6,-41,89,387,-3,0,0,59
Mike,4,7,-47,64,140,1,1,2,35
Mike,4,8,-51,73,318,3,-1,0,40
Mike,4,9,-53,87,232,-2,0,-1,55
Mike,4,10,-52,40,111,-5,0,1,47
Mike,4,11,-54,57,282,3,0,-2,52
Mike,4,12,-54,50,292,3,1,-2,31
Mike,4,13,-56,54,203,1,0,1,55
Mike,4,14,-56,79,280,-5,1,0,45
Mike,4,15,-52,78,161,-2,-1,1,56
Mike,4,16,-58,43,123,-4,1,1,47
Mike,4,17,-47,42,396,-1,-1,0,54
Mike,4,18,-47,81,193,5,1,-1,49
Mike,4,19,-59,45,115,2,-1,2,47
Mike,4,20,-50,63,309,1,-1,-2,49
Mike,4,21,-53,70,304,-3,0,1,38
Mike,4,22,-55,53,318,5,1,0,38
Mike,4,23,-46,84,297,-5,0,2,55
Mike,4,24,-41,63,271,-1,0,-1,40
Mike,4,25,-60,46,116,-3,0,1,43
Mike,4,26,-56,66,352,-1,0,-2,43
Mike,4,27,-55,83,138,1,-1,2,33
Mike,4,28,-60,83,255,-4,1,2,48
Mike,4,29,-46,47,194,-5,1,-2,60
Mike,4,30,-52,57,125,-4,0,2,44
Mike,4,31,-56,63,220,4,-1,0,34
Mike,4,32,-51,55,353,-2,0,1,49
Mike,4,33,-49,45,268,0,0,2,42
Mike,4,34,-56,89,349,-5,1,1,30
Mike,4,35,-54,78,368,1,0,-1,60
Mike,4,36,-47,54,237,3,1,1,52
Mike,4,37,-52,66,238,5,1,0,43
Mike,4,38,-60,61,162,3,0,1,60
Mike,4,39,-47,41,265,-1,1,-2,50
Mike,4,40,-60,81,291,-5,-1,2,49
Mike,4,41,-51,56,161,-1,0,0,50
Mike,4,42,-44,63,347,1,0,-1,56
Mike,4,43,-40,56,389,-3,1,-1,34
Mike,4,44,-46,59,299,-3,-1,0,60
Mike,4,45,-45,76,208,-3,1,2,54
Mike,4,46,-54,82,108,2,1,1,33
Mike,4,47,-59,56,232,1,0,-1,53
Mike,4,48,-48,58,128,-1,-1,1,58
Mike,4,49,-54,58,216,-3,1,0,58
Mike,4,50,-43,89,381,-1,-1,0,55
Mike,4,51,-57,57,220,4,0,-2,38
Mike,4,52,-58,62,197,-5,1,-2,56
Mike,4,53,-54,42,256,0,1,-2,30
Mike,4,54,-46,56,281,3,-1,0,59
Mike,4,55,-51,72,136,4,0,-2,32
Mike,4,56,-55,48,122,-2,1,-1,44
Mike,4,57,-40,61,223,-4,-1,-1,59
Mike,4,58,-53,57,343,4,1,-2,36
Mike,4,59,-56,65,362,4,0,-1,45
Mike,4,60,-40,49,351,-3,-1,2,49
Mike,5,1,-58,85,101,3,-1,-2,39
Mike,5,2,-50,85,297,-3,0,2,49
Mike,5,3,-46,64,164,-3,1,2,41
Mike,5,4,-44,67,266,0,1,-1,36
Mike,5,5,-41,69,333,4,0,0,40
Mike,5,6,-53,89,201,-1,-1,2,30
Mike,5,7,-49,67,158,-1,-1,0,45
Mike,5,8,-49,66,338,-2,0,-2,44
Mike,5,9,-54,56,222,4,1,-2,48
Mike,5,10,-46,71,258,-1,0,0,55
Mike,5,11,-51,48,302,2,-1,-1,57
Mike,5,12,-54,42,278,-5,0,-2,40
Mike,5,13,-49,84,132,-5,-1,2,34
Mike,5,14,-43,65,143,-2,0,1,34
Mike,5,15,-45,61,177,2,-1,-2,52
Mike,5,16,-59,50,180,-2,1,-2,37
Mike,5,17,-44,40,354,-3,-1,0,40
Mike,5,18,-44,40,369,5,1,2,44
Mike,5,19,-42,65,100,-2,1,1,37
Mike,5,20,-60,85,379,-1,-1,-1,48
Mike,5,21,-51,69,352,-2,1,-2,56
Mike,5,22,-47,69,196,4,0,-2,36
Mike,5,23,-60,89,186,4,1,1,35
Mike,5,24,-43,48,391,-3,-1,-2,41
Mike,5,25,-40,78,203,-1,-1,1,57
Mike,5,26,-55,66,201,3,-1,-1,38
Mike,5,27,-48,44,328,-1,0,-1,35
Mike,5,28,-54,90,324,2,-1,-2,57
Mike,5,29,-49,73,356,2,0,-1,45
Mike,5,30,-51,69,320,3,1,-2,41
Mike,5,31,-55,57,243,-4,-1,-1,51
Mike,5,32,-53,57,106,2,-1,0,55
Mike,5,33,-52,71,322,0,1,0,43
Mike,5,34,-54,70,204,4,1,0,55
Mike,5,35,-51,89,250,3,0,-1,55
Mike,5,36,-40,50,225,4,0,1,55
Mike,5,37,-42,47,311,5,0,2,33
Mike,5,38,-51,52,222,-4,1,2,41
Mike,5,39,-45,65,276,-4,0,2,52
Mike,5,40,-40,45,325,-2,-1,-1,39
Mike,5,41,-41,46,210,4,0,0,32
Mike,5,42,-42,61,207,-3,1,-1,34
Mike,5,43,-45,45,142,1,0,2,57
Mike,5,44,-57,58,277,4,1,-2,56
Mike,5,45,-48,49,193,3,0,0,36
Mike,5,46,-47,72,243,-3,0,-2,50
Mike,5,47,-44,75,292,0,-1,-2,41
Mike,5,48,-48,86,397,0,1,-1,56
Mike,5,49,-52,79,330,1,1,2,45
Mike,5,50,-51,53,337,-2,1,2,43
Mike,5,51,-48,55,357,-4,0,2,32
Mike,5,52,-56,70,149,0,1,1,34
Mike,5,53,-56,82,187,5,0,0,48
Mike,5,54,-50,57,137,0,1,-1,37
Mike,5,55,-46,77,154,2,1,-2,53
Mike,5,56,-52,41,296,0,-1,-1,41
Mike,5,57,-44,90,191,-5,-1,-1,35
Mike,5,58,-53,73,389,-5,-1,0,32
Mike,5,59,-48,72,149,3,1,-2,57
Mike,5,60,-58,42,133,-4,-1,-1,50
Mike,6,1,-60,54,356,-5,1,2,35
Mike,6,2,-58,43,383,-4,0,2,50
Mike,6,3,-48,61,397,-2,-1,-1,55
Mike,6,4,-43,77,186,3,0,-1,58
Mike,6,5,-49,60,383,1,0,2,38
Mike,6,6,-59,72,319,3,1,1,45
Mike,6,7,-50,83,354,1,-1,1,36
Mike,6,8,-60,65,135,-4,0,1,40
Mike,6,9,-46,77,295,-2,1,-2,52
Mike,6,10,-56,83,350,4,0,0,45
Mike,6,11,-47,84,211,4,-1,-2,56
Mike,6,12,-57,69,282,-1,1,2,55
Mike,6,13,-48,68,187,-3,1,-1,43
Mike,6,14,-60,52,142,3,0,0,49
Mike,6,15,-55,81,311,-4,0,-2,60
Mike,6,16,-56,67,287,2,-1,-1,52
Mike,6,17,-57,51,323,-4,1,-1,55
Mike,6,18,-48,45,377,-2,0,0,47
Mike,6,19,-45,84,232,0,1,-1,41
Mike,6,20,-51,89,117,5,1,1,45
Mike,6,21,-47,48,137,-1,-1,-2,39
Mike,6,22,-44,90,370,2,0,1,41
Mike,6,23,-42,66,300,1,0,-2,54
Mike,6,24,-46,43,168,2,-1,-2,51
Mike,6,25,-50,74,255,-4,0,0,36
Mike,6,26,-42,59,352,-5,1,-1,33
Mike,6,27,-59,67,151,1,0,2,30
Mike,6,28,-52,86,393,-2,0,2,55
Mike,6,29,-55,63,120,-3,-1,-1,56
Mike,6,30,-54,47,304,-1,0,-2,39
Mike,6,31,-43,70,129,3,-1,1,35
Mike,6,32,-40,82,273,-3,-1,-2,54
Mike,6,33,-56,44,213,-2,-1,2,37
Mike,6,34,-46,57,136,-3,-1,1,39
Mike,6,35,-55,41,286,3,0,-1,56
Mike,6,36,-54,45,300,2,-1,-1,40
Mike,6,37,-47,58,321,5,-1,1,39
Mike,6,38,-41,50,242,3,0,-1,58
Mike,6,39,-59,79,199,1,-1,2,41
Mike,6,40,-56,56,278,4,1,1,56
Mike,6,41,-52,79,143,1,1,-1,60
Mike,6,42,-40,70,140,0,1,1,40
Mike,6,43,-55,62,298,1,-1,0,43
Mike,6,44,-47,40,210,0,1,0,40
Mike,6,45,-45,54,339,3,-1,-1,33
Mike,6,46,-47,55,287,-3,1,1,52
Mike,6,47,-53,56,225,-5,-1,1,43
Mike,6,48,-48,51,103,3,-1,0,49
Mike,6,49,-57,50,267,-1,0,-1,60
Mike,6,50,-54,80,200,-2,1,-2,47
Mike,6,51,-49,84,100,-2,-1,2,51
Mike,6,52,-53,74,132,0,-1,1,41
Mike,6,53,-50,65,222,1,0,-1,34
Mike,6,54,-54,54,372,2,1,-2,33
Mike,6,55,-48,83,223,2,0,-2,36
Mike,6,56,-57,77,275,3,-1,-1,56
Mike,6,57,-49,53,392,-4,-1,-1,49
Mike,6,58,-48,40,244,-3,-1,-1,54
Mike,6,59,-48,60,187,0,1,0,55
Mike,6,60,-45,45,116,3,1,1,50
Mike,7,1,-58,74,315,-2,0,0,52
Mike,7,2,-51,79,398,3,1,1,36
Mike,7,3,-52,61,139,3,0,2,40
Mike,7,4,-45,46,154,0,1,-2,53
Mike,7,5,-49,57,292,3,1,1,30
Mike,7,6,-51,65,320,0,1,-1,36
Mike,7,7,-57,89,235,3,1,-2,54
Mike,7,8,-45,56,254,-2,0,-1,59
Mike,7,9,-56,82,342,2,-1,-1,35
Mike,7,10,-45,89,220,3,-1,-2,57
Mike,7,11,-42,81,244,-5,-1,-1,54
Mike,7,12,-56,76,112,2,1,-2,33
Mike,7,13,-41,45,289,-1,1,0,49
Mike,7,14,-57,45,384,-4,1,2,34
Mike,7,15,-55,41,256,5,1,0,35
Mike,7,16,-45,67,203,2,-1,-2,35
Mike,7,17,-57,82,355,3,-1,-1,45
Mike,7,18,-53,85,175,1,-1,-1,55
Mike,7,19,-53,73,245,-1,-1,1,57
Mike,7,20,-44,77,141,-2,-1,2,50
Mike,7,21,-49,86,343,-5,-1,1,37
Mike,7,22,-58,47,217,1,1,-2,54
Mike,7,23,-41,55,218,-5,-1,0,49
Mike,7,24,-48,48,132,3,-1,0,36
Mike,7,25,-41,66,297,2,-1,2,38
Mike,7,26,-53,64,336,0,1,-2,34
Mike,7,27,-48,57,171,0,0,-1,55
Mike,7,28,-58,52,220,-2,1,1,58
Mike,7,29,-55,88,337,0,0,-2,55
Mike,7,30,-46,72,182,0,-1,0,32
Mike,7,31,-41,75,182,5,-1,-2,42
Mike,7,32,-51,62,220,-4,1,1,46
Mike,7,33,-48,45,238,1,0,2,32
Mike,7,34,-60,84,282,-4,1,-2,45
Mike,7,35,-40,42,294,-3,-1,2,55
Mike,7,36,-50,61,374,-4,1,2,45
Mike,7,37,-40,58,101,-3,-1,-2,39
Mike,7,38,-60,77,230,-2,1,-2,32
Mike,7,39,-45,63,337,-3,-1,-1,34
Mike,7,40,-52,88,301,1,-1,-2,47
Mike,7,41,-46,85,103,-3,0,-1,56
Mike,7,42,-44,59,321,4,-1,0,43
Mike,7,43,-48,81,242,5,-1,0,38
Mike,7,44,-47,61,158,3,-1,-2,37
Mike,7,45,-44,63,311,0,1,2,35
Mike,7,46,-53,41,197,-2,-1,0,30
Mike,7,47,-43,88,298,3,-1,0,54
Mike,7,48,-56,89,348,-4,-1,1,60
Mike,7,49,-50,64,283,4,-1,-1,33
Mike,7,50,-41,90,180,3,1,2,44
Mike,7,51,-57,42,350,5,0,2,32
Mike,7,52,-56,66,288,-2,-1,0,44
Mike,7,53,-52,52,293,4,0,2,56
Mike,7,54,-60,89,123,0,0,-1,58
Mike,7,55,-52,81,247,-1,-1,-1,57
Mike,7,56,-53,80,184,5,1,-2,31
Mike,7,57,-57,64,361,-3,0,0,59
Mike,7,58,-48,47,100,0,-1,0,30
Mike,7,59,-53,84,279,5,-1,1,30
Mike,7,60,-59,88,111,-1,1,-2,35
Mike,8,1,-42,75,389,0,-1,2,60
Mike,8,2,-47,66,211,-2,0,1,38
Mike,8,3,-49,51,128,-5,-1,2,39
Mike,8,4,-45,64,234,-3,0,0,57
Mike,8,5,-41,52,143,-4,0,-2,54
Mike,8,6,-53,66,150,-1,0,0,40
Mike,8,7,-47,54,237,5,-1,-1,42
Mike,8,8,-59,75,297,-1,1,2,51
Mike,8,9,-40,41,117,5,1,0,53
Mike,8,10,-52,51,281,-5,1,2,41
Mike,8,11,-44,56,383,-5,1,-1,42
Mike,8,12,-45,79,160,2,0,1,57
Mike,8,13,-55,52,183,5,-1,-1,55
Mike,8,14,-53,84,107,1,1,-1,31
Mike,8,15,-42,51,391,0,0,-1,58
Mike,8,16,-53,52,302,0,1,1,57
Mike,8,17,-48,84,231,3,-1,2,58
Mike,8,18,-58,46,186,-3,-1,1,41
Mike,8,19,-45,49,314,-1,-1,0,52
Mike,8,20,-59,68,141,-4,0,2,60
Mike,8,21,-53,58,325,-5,-1,2,45
Mike,8,22,-41,90,261,-4,1,0,38
Mike,8,23,-50,75,139,3,-1,-2,34
Mike,8,24,-50,78,322,5,-1,-2,49
Mike,8,25,-56,42,174,5,1,-1,54
Mike,8,26,-45,42,210,4,0,-2,48
Mike,8,27,-57,41,389,0,0,1,43
Mike,8,28,-41,72,380,1,1,0,36
Mike,8,29,-57,81,184,-2,0,2,46
Mike,8,30,-55,45,384,5,1,1,45
Mike,8,31,-58,43,376,0,0,1,57
Mike,8,32,-57,50,387,-4,-1,2,39
Mike,8,33,-40,43,385,-1,0,-1,51
Mike,8,34,-52,79,242,-3,0,0,48
Mike,8,35,-57,81,244,-2,0,-2,30
Mike,8,36,-53,46,312,0,-1,-2,49
Mike,8,37,-45,74,159,3,-1,1,46
Mike,8,38,-46,68,361,1,-1,2,39
Mike,8,39,-57,70,370,-2,0,-2,60
Mike,8,40,-58,80,228,0,-1,2,45
Mike,8,41,-42,72,283,1,0,-2,52
Mike,8,42,-43,88,255,-1,-1,-2,56
Mike,8,43,-46,55,353,1,0,2,34
Mike,8,44,-57,89,185,-4,1,-2,30
Mike,8,45,-45,82,381,1,0,2,32
Mike,8,46,-46,83,189,3,0,0,39
Mike,8,47,-53,88,109,0,1,-1,43
Mike,8,48,-58,60,288,2,-1,2,33
Mike,8,49,-45,69,211,2,1,-1,32
Mike,8,50,-60,56,154,3,0,2,36
Mike,8,51,-57,71,354,1,1,-1,40
Mike,8,52,-52,76,375,2,0,2,47
Mike,8,53,-52,73,398,1,1,2,53
Mike,8,54,-47,78,329,0,1,-2,50
Mike,8,55,-45,84,360,-4,-1,1,32
Mike,8,56,-60,69,221,5,-1,-2,56
Mike,8,57,-48,40,203,2,1,1,58
Mike,8,58,-51,77,116,3,0,1,30
Mike,8,59,-58,76,391,-5,0,-2,30
Mike,8,60,-44,42,207,0,0,0,37
Mike,9,1,-40,50,167,-5,1,-2,34
Mike,9,2,-44,79,384,4,0,-2,42
Mike,9,3,-44,45,234,-2,0,-1,30
Mike,9,4,-41,59,270,2,-1,1,57
Mike,9,5,-59,76,333,-2,-1,-2,54
Mike,9,6,-40,66,222,-4,-1,0,34
Mike,9,7,-55,71,138,-4,-1,-2,33
Mike,9,8,-53,74,234,4,1,0,57
Mike,9,9,-58,88,398,-2,1,1,52
Mike,9,10,-56,78,360,5,0,-1,46
Mike,9,11,-42,59,294,0,0,-2,44
Mike,9,12,-46,75,137,0,-1,-1,36
Mike,9,13,-52,84,180,2,-1,2,55
Mike,9,14,-41,87,354,4,-1,0,34
Mike,9,15,-60,90,286,1,0,2,31
Mike,9,16,-41,52,361,-5,-1,-2,44
Mike,9,17,-53,63,228,5,-1,-2,39
Mike,9,18,-49,58,279,1,1,0,60
Mike,9,19,-44,56,126,5,-1,-2,51
Mike,9,20,-51,60,205,-3,1,-1,30
Mike,9,21,-48,45,340,-4,1,2,45
Mike,9,22,-44,45,190,0,-1,1,45
Mike,9,23,-44,68,164,-3,-1,-1,46
Mike,9,24,-51,55,381,5,1,-2,38
Mike,9,25,-58,46,223,5,1,-1,47
Mike,9,26,-44,40,306,3,-1,-1,44
Mike,9,27,-59,40,263,2,0,0,36
Mike,9,28,-49,59,316,-2,-1,2,32
Mike,9,29,-53,68,124,-5,1,-2,46
Mike,9,30,-49,67,282,2,-1,-2,43
Mike,9,31,-49,55,351,0,1,-2,50
Mike,9,32,-41,42,291,5,-1,2,58
Mike,9,33,-52,79,349,1,-1,-2,44
Mike,9,34,-60,41,338,0,0,2,46
Mike,9,35,-60,84,109,3,0,0,37
Mike,9,36,-59,77,202,0,1,0,55
Mike,9,37,-40,80,203,5,-1,0,30
Mike,9,38,-53,78,400,4,1,0,52
Mike,9,39,-50,58,241,0,0,2,60
Mike,9,40,-58,47,297,-5,0,1,56
Mike,9,41,-58,56,400,3,-1,0,55
Mike,9,42,-51,69,112,0,0,0,46
Mike,9,43,-56,72,272,-2,1,-1,46
Mike,9,44,-54,73,145,-2,0,-2,46
Mike,9,45,-40,46,150,1,-1,2,52
Mike,9,46,-55,67,240,3,1,0,48
Mike,9,47,-54,44,157,1,1,-1,38
Mike,9,48,-50,87,358,-3,1,2,34
Mike,9,49,-44,65,190,2,1,1,47
Mike,9,50,-54,60,148,3,0,-1,32
Mike,9,51,-47,59,155,5,-1,2,46
Mike,9,52,-45,74,298,1,-1,-2,49
Mike,9,53,-56,64,223,4,0,2,41
Mike,9,54,-57,53,303,5,0,0,48
Mike,9,55,-45,46,236,-2,-1,-2,38
Mike,9,56,-59,50,178,-1,0,0,39
Mike,9,57,-40,42,364,-3,1,2,60
Mike,9,58,-55,68,142,3,-1,2,51
Mike,9,59,-44,56,376,-5,1,-1,45
Mike,9,60,-42,56,381,2,0,2,45
Mike,10,1,-43,70,152,-5,1,2,32
Mike,10,2,-48,71,289,-2,-1,1,58
Mike,10,3,-57,79,207,1,1,-2,44
Mike,10,4,-51,45,304,-2,1,1,42
Mike,10,5,-48,55,138,-4,-1,0,52
Mike,10,6,-50,55,237,-1,0,2,60
Mike,10,7,-50,77,344,-5,-1,-1,55
Mike,10,8,-55,85,286,-1,1,2,52
Mike,10,9,-42,88,148,1,1,0,56
Mike,10,10,-52,90,234,2,0,1,42
Mike,10,11,-49,46,393,1,0,2,46
Mike,10,12,-57,47,255,-2,1,0,36
Mike,10,13,-51,41,342,1,1,-1,41
Mike,10,14,-56,88,357,0,0,2,32
Mike,10,15,-54,79,185,5,1,2,53
Mike,10,16,-59,78,194,-1,1,2,38
Mike,10,17,-43,89,239,5,1,2,33
Mike,10,18,-50,81,255,5,-1,0,59
Mike,10,19,-42,63,359,0,0,-1,58
Mike,10,20,-44,84,210,5,1,2,58
Mike,10,21,-41,57,297,5,0,0,46
Mike,10,22,-45,79,115,-5,0,-2,59
Mike,10,23,-55,68,203,3,0,1,59
Mike,10,24,-57,63,152,-2,-1,0,42
Mike,10,25,-41,50,324,0,0,0,53
Mike,10,26,-50,77,279,3,0,1,51
Mike,10,27,-51,84,339,3,1,2,38
Mike,10,28,-59,45,222,-1,-1,0,49
Mike,10,29,-49,53,157,-5,1,2,56
Mike,10,30,-45,56,269,-2,0,0,56
Mike,10,31,-47,85,104,-5,-1,-2,48
Mike,10,32,-42,59,353,5,0,0,55
Mike,10,33,-56,59,296,0,1,2,46
Mike,10,34,-57,89,290,3,1,1,39
Mike,10,35,-48,56,353,2,-1,-2,37
Mike,10,36,-44,57,344,0,-1,1,41
Mike,10,37,-43,89,102,3,1,1,31
Mike,10,38,-40,75,164,4,0,2,30
